Ano de eleição;Cargo;Município;Quantidade de aptos;Quantidade de abstenções;Data de carga
2022;Deputado Estadual;ANÍSIO DE ABREU;6891;1160;2023-06-19 19:56:40
2022;Deputado Estadual;APARECIDA;35390;6878;2023-06-19 19:56:40
2022;Deputado Estadual;APARECIDA D'OESTE;3998;970;2023-06-19 19:56:40
2022;Deputado Estadual;APARECIDA DE GOIÂNIA;334777;71887;2023-06-19 19:56:40
2022;Deputado Estadual;APARECIDA DO RIO DOCE;2907;687;2023-06-19 19:56:40
2022;Deputado Estadual;APARECIDA DO RIO NEGRO;3905;549;2023-06-19 19:56:40
2022;Deputado Estadual;APARECIDA DO TABOADO;19275;5456;2023-06-19 19:56:40
2022;Deputado Estadual;APERIBÉ;9704;1717;2023-06-19 19:56:40
2022;Deputado Estadual;APIACÁ;6169;1379;2023-06-19 19:56:40
2022;Deputado Estadual;APIACÁS;5707;1445;2023-06-19 19:56:40
2022;Deputado Estadual;APIAÍ;20465;5810;2023-06-19 19:56:40
2022;Deputado Estadual;APICUM-AÇU;13676;3366;2023-06-19 19:56:40
2022;Deputado Estadual;APIÚNA;8190;1507;2023-06-19 19:56:40
2022;Deputado Estadual;APODI;28894;4134;2023-06-19 19:56:40
2022;Deputado Estadual;APORÁ;14294;3805;2023-06-19 19:56:40
2022;Deputado Estadual;APORÉ;3182;866;2023-06-19 19:56:40
2022;Deputado Estadual;APUAREMA;5967;1256;2023-06-19 19:56:40
2022;Deputado Estadual;APUCARANA;94488;19100;2023-06-19 19:56:40
2022;Deputado Estadual;APUIARÉS;11996;1773;2023-06-19 19:56:40
2022;Deputado Estadual;APUÍ;11692;3752;2023-06-19 19:56:40
2022;Deputado Estadual;AQUIDABÃ;16720;3276;2023-06-19 19:56:40
2022;Deputado Estadual;AQUIDAUANA;35774;9364;2023-06-19 19:56:40
2022;Deputado Estadual;AQUIRAZ;61454;8628;2023-06-19 19:56:40
2022;Deputado Estadual;ARABUTÃ;3837;634;2023-06-19 19:56:40
2022;Deputado Estadual;ARACAJU;421659;71073;2023-06-19 19:56:40
2022;Deputado Estadual;ARACATI;54761;8076;2023-06-19 19:56:40
2022;Deputado Estadual;ARACATU;11976;1730;2023-06-19 19:56:40
2022;Deputado Estadual;ARACI;42185;12405;2023-06-19 19:56:40
2022;Deputado Estadual;ARACITABA;2473;452;2023-06-19 19:56:40
2022;Deputado Estadual;ARACOIABA;24012;3467;2023-06-19 19:56:40
2022;Deputado Estadual;ARACRUZ;72231;16414;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGARÇAS;13494;3179;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGOIÂNIA;8745;1848;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGOMINAS;4435;800;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUACEMA;4769;1079;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUAIANA;3173;834;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUAINHA;1041;208;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUANÃ;12018;3368;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUAPAZ;6035;1433;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUARI;89184;20112;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUATINS;21325;4505;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUAÇU;6316;1317;2023-06-19 19:56:40
2022;Deputado Estadual;ARAGUAÍNA;112767;19699;2023-06-19 19:56:40
2022;Deputado Estadual;ARAIOSES;34811;10059;2023-06-19 19:56:40
2022;Deputado Estadual;ARAL MOREIRA;7493;1353;2023-06-19 19:56:40
2022;Deputado Estadual;ARAMARI;9288;1844;2023-06-19 19:56:40
2022;Deputado Estadual;ARAMBARÉ;3506;804;2023-06-19 19:56:40
2022;Deputado Estadual;ARAME;22572;6107;2023-06-19 19:56:40
2022;Deputado Estadual;ARAMINA;4608;1096;2023-06-19 19:56:40
2022;Deputado Estadual;ARANDU;5810;1357;2023-06-19 19:56:40
2022;Deputado Estadual;ARANTINA;2718;518;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPEÍ;2479;605;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPIRACA;150575;28752;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPOEMA;4686;993;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPONGA;6798;1449;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPONGAS;82597;15476;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPORÃ;6411;1340;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPOTI;19324;4316;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPUTANGA;12027;3284;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPUÁ;3219;738;2023-06-19 19:56:40
2022;Deputado Estadual;ARAPUÃ;3209;571;2023-06-19 19:56:40
2022;Deputado Estadual;ARAQUARI;23903;5366;2023-06-19 19:56:40
2022;Deputado Estadual;ARARA;8899;2059;2023-06-19 19:56:40
2022;Deputado Estadual;ARARANGUÁ;52819;10883;2023-06-19 19:56:40
2022;Deputado Estadual;ARARAQUARA;181154;43634;2023-06-19 19:56:40
2022;Deputado Estadual;ARARAS;101414;21318;2023-06-19 19:56:40
2022;Deputado Estadual;ARARENDÁ;9640;2258;2023-06-19 19:56:40
2022;Deputado Estadual;ARARI;24743;6665;2023-06-19 19:56:40
2022;Deputado Estadual;ARARICÁ;5751;1001;2023-06-19 19:56:40
2022;Deputado Estadual;ARARIPE;18153;4975;2023-06-19 19:56:40
2022;Deputado Estadual;ARARIPINA;58650;12487;2023-06-19 19:56:40
2022;Deputado Estadual;ARARUAMA;103715;24925;2023-06-19 19:56:40
2022;Deputado Estadual;ARARUNA;24875;5521;2023-06-19 19:56:40
2022;Deputado Estadual;ARATACA;6290;1632;2023-06-19 19:56:40
2022;Deputado Estadual;ARATIBA;6274;903;2023-06-19 19:56:40
2022;Deputado Estadual;ARATUBA;11551;1876;2023-06-19 19:56:40
2022;Deputado Estadual;ARATUÍPE;8585;1953;2023-06-19 19:56:40
2022;Deputado Estadual;ARAUCÁRIA;104787;18953;2023-06-19 19:56:40
2022;Deputado Estadual;ARAUÁ;9369;1914;2023-06-19 19:56:40
2022;Deputado Estadual;ARAXÁ;79857;16957;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇAGI;13941;2804;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇARIGUAMA;17247;4137;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇATUBA;153573;35015;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇAÍ;2350;376;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇOIABA;16119;2305;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇOIABA DA SERRA;24769;4765;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇU;4004;671;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇUAÍ;27967;9037;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÇÁS;10142;2096;2023-06-19 19:56:40
2022;Deputado Estadual;ARAÚJOS;6447;1111;2023-06-19 19:56:40
2022;Deputado Estadual;ARCEBURGO;7367;1467;2023-06-19 19:56:40
2022;Deputado Estadual;ARCO-ÍRIS;2249;523;2023-06-19 19:56:40
2022;Deputado Estadual;ARCOS;32220;6194;2023-06-19 19:56:40
2022;Deputado Estadual;ARCOVERDE;48884;8633;2023-06-19 19:56:40
2022;Deputado Estadual;AREADO;11759;2553;2023-06-19 19:56:40
2022;Deputado Estadual;AREAL;9803;1880;2023-06-19 19:56:40
2022;Deputado Estadual;AREALVA;6381;1454;2023-06-19 19:56:40
2022;Deputado Estadual;AREIA;18428;3616;2023-06-19 19:56:40
2022;Deputado Estadual;AREIA BRANCA;35325;6373;2023-06-19 19:56:40
2022;Deputado Estadual;AREIA DE BARAÚNAS;2157;367;2023-06-19 19:56:40
2022;Deputado Estadual;AREIAL;6067;1114;2023-06-19 19:56:40
2022;Deputado Estadual;AREIAS;3257;584;2023-06-19 19:56:40
2022;Deputado Estadual;AREIÓPOLIS;8556;1801;2023-06-19 19:56:40
2022;Deputado Estadual;ARENÁPOLIS;8041;1920;2023-06-19 19:56:40
2022;Deputado Estadual;ARENÓPOLIS;3294;653;2023-06-19 19:56:40
2022;Deputado Estadual;AREZ;10920;1736;2023-06-19 19:56:40
2022;Deputado Estadual;ARGIRITA;2931;613;2023-06-19 19:56:40
2022;Deputado Estadual;ARICANDUVA;4852;1396;2023-06-19 19:56:40
2022;Deputado Estadual;ARINOS;13836;4190;2023-06-19 19:56:40
2022;Deputado Estadual;ARIPUANÃ;13975;4626;2023-06-19 19:56:40
